attractions,etc,accomodations,restaurant,cafe,A10,A11,A12,visitors
0.055555556,0.153846154,0,0.159090909,0.112244898,0.885714286,0.598726115,0.707865169,0.629010183
0.037037037,0.038461538,0.004385965,0.227272727,0.316326531,0.84,0.598726115,0.72659176,0.784134147
0.055555556,0.038461538,0.004385965,0.068181818,0.081632653,0.76,0.636942675,0.715355805,0.505360473
0,0.076923077,0.00877193,0.045454545,0.030612245,0.857142857,0.611464968,0.719101124,0.551733424
0.074074074,0.153846154,0.004385965,0.113636364,0.020408163,0.754285714,0.687898089,0.767790262,0.520205215
0.148148148,0.211538462,0.013157895,0.045454545,0.030612245,0.765714286,0.656050955,0.734082397,0.474507463
0.055555556,0.019230769,0.00877193,0.159090909,0.255102041,0.697142857,0.700636943,0.737827715,0.637997946
0.018518519,0.038461538,0,0.045454545,0.071428571,0.571428571,0.617834395,0.70411985,0.569440696
0.148148148,0.192307692,0.004385965,0.045454545,0.040816327,0.8,0.611464968,0.719101124,0.397891232
0.018518519,0.038461538,0.00877193,0.022727273,0.030612245,0.714285714,0.636942675,0.741573034,0.573528755
0.185185185,0.211538462,0.078947368,0.477272727,0.214285714,0.708571429,0.713375796,0.756554307,0.789041551
0.12962963,0.096153846,0.070175439,0,0.020408163,0.76,0.707006369,0.730337079,0.416239955
0.055555556,0.192307692,0.01754386,0,0.020408163,0.737142857,0.719745223,0.752808989,0.365446545
0.018518519,0.192307692,0,0.363636364,0.469387755,0.657142857,0.74522293,0.767790262,0.753921698
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.748571429,0.636942675,0.72659176,0.475971527
0,0.057692308,0.087719298,0,0,0.754285714,0.668789809,0.741573034,0.368461346
0.222222222,0.25,0.135964912,0,0.040816327,0.788571429,0.662420382,0.756554307,0.423962527
0.037037037,0.153846154,0.030701754,0,0.030612245,0.691428571,0.656050955,0.737827715,0.406328469
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.782857143,0.598726115,0.734082397,0.776604758
0.018518519,0.096153846,0,0.068181818,0.112244898,0.457142857,0.719745223,0.764044944,0.703840522
0.074074074,0.019230769,0.039473684,0,0.102040816,0.685714286,0.656050955,0.737827715,0.470209179
0.074074074,0.057692308,0.039473684,0,0.010204082,0.685714286,0.636942675,0.707865169,0.344918632
