attractions,etc,accomodation,restaurant,cafe,A10,A11,A12,visitors
0.111111111,0.115384615,0,0.090909091,0.142857143,0.867368421,0.984682713,0.856531049,0.518623046
0.055555556,0.057692308,0.043859649,0.022727273,0.020408163,0.856842105,0.89059081,0.858672377,0.351131047
0,0.038461538,0,0,0.091836735,0.631578947,0.886214442,0.788008565,0.592578509
0.055555556,0.076923077,0,0,0.071428571,0.871578947,0.881838074,0.845824411,0.373790181
0.037037037,0.057692308,0.035087719,0.022727273,0.040816327,0.846315789,0.765864333,0.642398287,0.440416499
0.092592593,0.519230769,0.01754386,0.363636364,0.540816327,0.863157895,0.875273523,0.856531049,0.689311517
0.074074074,0.307692308,0.00877193,0.181818182,0.224489796,0.861052632,0.875273523,0.764453961,0.676745968
0.055555556,0.153846154,0.021929825,0.045454545,0.091836735,0.848421053,0.868708972,0.790149893,0.458233198
0.12962963,0.423076923,0.083333333,0.886363636,0.93877551,0.858947368,0.849015317,0.839400428,0.730119482
0,0.076923077,0.01754386,0,0.010204082,0.882105263,0.86214442,0.798715203,0.377814288
0.166666667,0.153846154,0.350877193,0.113636364,0.030612245,0.911578947,0.855579869,0.822269807,0.414217668
0.148148148,0.192307692,0.004385965,0.090909091,0.142857143,0.869473684,0.875273523,0.856531049,0.688727258
0.055555556,0.115384615,0.043859649,0.022727273,0.030612245,0.88,0.86214442,0.790149893,0.449658682
0,0.076923077,0.109649123,0.022727273,0,0.890526316,0.851203501,0.815845824,0.365445781
0.074074074,0.096153846,0.065789474,0.113636364,0.204081633,0.911578947,0.820568928,0.802997859,0.456529275
0.092592593,0.173076923,0.030701754,0.045454545,0.142857143,0.884210526,0.875273523,0.856531049,0.50810432
0.018518519,0.076923077,0.004385965,0.090909091,0.132653061,0.842105263,0.838074398,0.82012848,0.516323171
0.037037037,0.25,0,0.090909091,0.142857143,0.875789474,0.884026258,0.862955032,0.715025989
0.092592593,0.153846154,0.013157895,0.227272727,0.183673469,0.873684211,0.899343545,0.867237687,0.593647347
0.055555556,0.173076923,0.013157895,0.204545455,0.214285714,0.882105263,0.921225383,0.882226981,0.727551799
0.037037037,0.115384615,0.013157895,0.022727273,0.12244898,0.871578947,0.892778993,0.839400428,0.666396947
0,0.038461538,0,0.068181818,0,0.842105263,0.855579869,0.798715203,0.483715718
0.111111111,0.096153846,0.00877193,0.113636364,0.204081633,0.88,0.846827133,0.847965739,0.693155026
0.018518519,0.038461538,0,0.113636364,0.132653061,0.856842105,0.897155361,0.856531049,0.737380421
0.074074074,0.230769231,0,0,0.12244898,0.92,0.892778993,0.86509636,0.467499091
0.055555556,0.134615385,0.00877193,0.068181818,0.081632653,0.886315789,0.857768053,0.830835118,0.550922344
0.018518519,0.192307692,0.01754386,0.204545455,0.459183673,0.882105263,0.875273523,0.869379015,0.703934266
0.055555556,0.192307692,0.013157895,0.181818182,0.285714286,0.88,0.851203501,0.82869379,0.690824867
0.037037037,0.076923077,0,0.090909091,0.12244898,0.877894737,0.90809628,0.903640257,0.622492049
0.037037037,0.038461538,0,0.045454545,0.112244898,0.888421053,0.864332604,0.826552463,0.528050924
0.055555556,0.038461538,0,0.045454545,0.142857143,0.947368421,0.857768053,0.845824411,0.671379976
0.092592593,0,0.026315789,0.022727273,0.040816327,0.903157895,0.868708972,0.867237687,0.30426535
0,0.115384615,0,0,0.102040816,0.842105263,0.853391685,0.899357602,0.664856809
0.12962963,0.269230769,0.065789474,0.045454545,0.051020408,0.898947368,0.879649891,0.875802998,0.368556535
0.037037037,0.230769231,0.013157895,0.704545455,0.653061224,0.873684211,0.870897155,0.837259101,0.862091971
0.092592593,0.230769231,0.026315789,0.181818182,0.183673469,0.890526316,0.875273523,0.798715203,0.524532134
0.092592593,0.038461538,0.00877193,0.068181818,0.091836735,0.821052632,0.870897155,0.832976445,0.404083764
0.037037037,0.019230769,0.087719298,0.022727273,0.010204082,0.898947368,0.853391685,0.813704497,0.322167482
0.037037037,0.134615385,0.048245614,0.022727273,0.020408163,0.886315789,0.851203501,0.809421842,0.381688329
0.074074074,0.288461538,0.149122807,0.090909091,0.112244898,0.873684211,0.857768053,0.7751606,0.492797626
0.111111111,0.096153846,0.131578947,0.136363636,0.071428571,0.888421053,0.851203501,0.809421842,0.549978145
0.055555556,0.096153846,0.026315789,0.022727273,0.010204082,0.896842105,0.875273523,0.841541756,0.299218109
0.074074074,0.134615385,0.048245614,0,0.010204082,0.884210526,0.888402626,0.856531049,0.285844542
0.018518519,0.038461538,0.035087719,0,0,0.886315789,0.857768053,0.832976445,0.20447706
0.055555556,0.134615385,0.00877193,0.090909091,0.153061224,0.903157895,0.866520788,0.841541756,0.610301003
0.092592593,0.057692308,0,0.159090909,0.071428571,0.924210526,0.866520788,0.830835118,0.580226016
0.203703704,0.192307692,0.057017544,0.454545455,0.295918367,0.886315789,0.929978118,0.856531049,0.71009331
0.074074074,0.096153846,0.00877193,0.022727273,0.081632653,0.909473684,0.873085339,0.847965739,0.559541857
