시군구,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
진천군,23186,43352,97726,77310,281058,42227,131
창녕군,8915,77328,85322,18180,91896,39827,14395
창원시,340495,971306,747107,165966,2507235,174474,70234
천안시,108167,541628,549226,77906,3040847,45987,23607
철원군,138128,125899,84015,77254,228220,111393,2382
청도군,25283,67795,114461,117582,227863,28114,24760
청송군,4202,15011,77247,11596,53025,119805,4013
청양군,38828,27706,22331,15043,45827,22611,315
청주시,732429,599880,513257,96777,2857936,48938,28546
춘천시,179615,659054,623062,53614,2634786,250744,10689
충주시,98974,168823,303960,26161,728109,126447,54364
칠곡군,27700,74345,76606,31169,302005,40276,18605
태백시,39324,44386,59835,9417,92947,33102,18
태안군,116810,234324,1172010,30774,625473,1301124,35490
통영시,270246,144528,422772,47541,645065,108548,68
파주시,784802,692923,377449,125107,3347298,129706,35193
평창군,169388,289917,890100,133198,550842,58750,28505
평택시,121114,674460,445073,26417,3733411,46014,12832
포천시,66467,270995,594889,28370,1347841,459704,125036
포항시,436331,396554,537854,64184,1693650,608058,18874
하남시,2919,533237,96116,20047,2320725,646,3385
하동군,117992,63851,83975,101048,146049,28038,3027
함안군,5943,99132,16063,32193,133278,4276,1108
함양군,15404,42353,43373,17492,45885,27612,5684
함평군,7896,67636,15225,7546,77418,43144,64
합천군,38491,94813,74797,89319,87478,50849,2801
해남군,66628,88038,53397,85196,96053,36255,1513
홍성군,32593,74130,46979,18990,247711,132826,226
홍천군,138961,746692,2443167,31919,1038686,117147,9814
화성시,290981,760251,656112,198256,3876151,711044,139176
화순군,20464,58215,50249,44275,218796,35596,9258
화천군,19009,52687,48962,1953,25393,11864,633
횡성군,44203,39401,239893,2293,318049,44512,3575
