name,category,cat_code,addr,road_addr,x,y,do,si,gu
초원숲속글램핑,숙박,AD5,부산 기장군 정관읍 병산리 567-3,부산 기장군 정관읍 병산1길 18,35.345293297850425,129.18780263086785,부산,기장군,정관읍
병산저수지,관광명소,AT4,부산 기장군 정관읍 용수리,,35.3430323195995,129.180879043919,부산,기장군,정관읍
갈맷길 1코스1구간,관광명소,AT4,부산 기장군 일광읍 이천리,,35.27325473063001,129.24656189284323,부산,기장군,일광읍
양산수질정화공원,기타,,경남 양산시 동면 금산리 1223-3,경남 양산시 동면 강변로 54,35.3066207258163,129.021794930516,경남,양산시,동면
갈맷길1코스1구간 중간인증대,관광명소,AT4,부산 기장군 일광읍 삼성리 115-28,,35.2620558447415,129.233516884441,부산,기장군,일광읍
대운산자연휴양림 야영장,숙박,AD5,경남 양산시 용당동 산 66-1,경남 양산시 탑골길 270,35.4172795717501,129.209848113863,경남,양산시,용당동
명동근린공원,기타,,경남 양산시 명동 450-2,,35.402966278561756,129.1660521516706,경남,양산시,명동
구목정공원,기타,,부산 기장군 정관읍 용수리 1334,,35.3242770376599,129.174147322551,부산,기장군,정관읍
일광이천생태공원,기타,,부산 기장군 일광읍 이천리 692,,35.2714039569372,129.23498224926,부산,기장군,일광읍
프라이빗1754,숙박,AD5,경남 양산시 용당동 132-37,경남 양산시 탑골길 175-4,35.41882659347784,129.19924892201374,경남,양산시,용당동
놀이마당공원,기타,,부산 금정구 청룡동 49,,35.2758042035934,129.087186433279,부산,금정구,청룡동
금산근린공원,기타,,경남 양산시 동면 금산리 1460-2,,35.3089671030582,129.025683475836,경남,양산시,동면
범어사등나무군락,기타,,부산 금정구 청룡동 546,부산 금정구 범어사로 250,35.2827189322182,129.070975891838,부산,금정구,청룡동
남산어린이공원,기타,,부산 금정구 남산동 988-4,,35.2666050544646,129.086994334062,부산,금정구,남산동
느티나무어린이공원,기타,,경남 양산시 북정동 895-3,,35.3579448555219,129.042460635283,경남,양산시,북정동
메기들공원,기타,,경남 양산시 물금읍 가촌리 1283,,35.3124979171549,129.007635816376,경남,양산시,물금읍
시명산,관광명소,AT4,부산 기장군 장안읍 장안리 산 65-1,,35.388005734126,129.199519658069,부산,기장군,장안읍
양산신기리고분군,기타,,경남 양산시 신기동 산 31,,35.3552755385085,129.049811626172,경남,양산시,신기동
화암추등대 전망데크 산책로,기타,,울산 동구 방어동 958,,35.4781125731812,129.414512446492,울산,동구,방어동
대왕암공원,기타,,울산 동구 일산동 905,울산 동구 등대로 140,35.49229070537383,129.43993326116382,울산,동구,일산동
대왕암,기타,,울산 동구 일산동 905-7,,35.4911368664707,129.445340897935,울산,동구,일산동
슬도,관광명소,AT4,울산 동구 방어동,,35.4782712236945,129.430837877025,울산,동구,방어동
울산대교전망대,관광명소,AT4,울산 동구 방어동 산 410-1,울산 동구 봉수로 155-1,35.5017465390899,129.406153675228,울산,동구,방어동
