시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12,기초지자체 방문자 수
안양시,37194769,1,6,2,8,32,4.11,4.12,4.04,37194769.0
양구군,1814851,3,4,4,0,0,4.33,4.11,4.08,1814851.0
양산시,21105082,3,7,8,8,26,4.17,4.0,3.97,21105082.0
양양군,12196304,8,4,62,17,11,4.21,4.12,4.0,12196304.0
양주시,18181646,10,8,12,21,21,4.16,4.11,4.05,18181646.0
양천구,21140006,2,10,0,3,16,4.0,4.06,4.0,21140006.0
양평군,17732502,11,9,78,24,20,4.2,4.04,4.03,17732502.0
여수시,22429413,9,11,48,11,14,4.22,4.0,4.0,22429413.0
여주시,15901010,4,2,12,4,11,4.21,4.03,4.03,15901010.0
연천군,5737694,2,2,33,0,2,4.06,4.13,4.05,5737694.0
영광군,5308324,3,3,2,2,0,4.3,4.1,4.05,5308324.0
영덕군,7626389,8,8,30,2,1,4.13,4.12,4.07,7626389.0
영동군,4124597,2,0,4,0,0,4.1,4.08,4.02,4124597.0
영등포구,59053622,2,5,0,3,15,4.07,4.06,3.99,59053622.0
영암군,5624367,0,3,4,1,3,4.13,3.8,4.0,5624367.0
영양군,1376345,4,1,4,0,1,4.0,4.11,4.01,1376345.0
영월군,6065958,2,5,27,1,2,4.22,4.04,3.94,6065958.0
영주시,6078970,0,4,7,1,1,4.06,4.11,4.03,6078970.0
영천시,9121695,4,5,5,1,5,4.25,4.06,3.95,9121695.0
예산군,9143844,3,8,10,1,3,4.19,3.97,3.94,9143844.0
예천군,4490870,0,2,5,0,1,4.0,3.97,3.94,4490870.0
오산시,12291493,3,9,1,5,7,4.19,4.07,3.95,12291493.0
옥천군,5444873,5,5,2,1,4,4.17,4.12,3.99,5444873.0
완도군,4375776,4,7,8,0,1,4.29,4.12,4.07,4375776.0
완주군,12038770,1,2,14,0,7,4.19,4.16,4.01,12038770.0
용산구,40356913,0,3,0,13,32,4.04,3.96,3.7,40356913.0
용인시,76844219,8,20,30,15,60,4.2,4.37,4.15,76844219.0
울릉군,1511584,5,3,3,3,3,4.44,4.23,4.06,1511584.0
울산광역시 남구,23223184,4,13,1,4,25,4.21,4.27,4.29,23223184.0
울산광역시 동구,8486736,4,4,1,2,7,4.11,4.06,4.0,8486736.0
울산광역시 북구,13529481,0,14,6,3,9,4.4,4.27,4.25,13529481.0
울산광역시 울주군,20728511,3,15,17,6,25,4.21,4.25,4.06,20728511.0
울산광역시 중구,11738732,2,6,4,3,8,3.98,4.5,4.22,11738732.0
울진군,6609317,7,6,14,1,1,4.09,4.0,4.05,6609317.0
원주시,18684861,6,16,20,4,35,4.16,4.29,4.15,18684861.0
은평구,18079312,3,3,3,2,22,4.2,4.31,4.2,18079312.0
음성군,9234379,0,2,1,1,7,4.13,4.41,4.18,9234379.0
의령군,3143522,0,2,4,0,0,4.18,4.1,3.99,3143522.0
의성군,5052265,1,3,0,1,1,4.3,4.16,3.99,5052265.0
의왕시,13755123,5,3,0,7,13,4.06,4.14,4.01,13755123.0
의정부시,21424378,3,7,1,11,29,4.2,4.15,3.97,21424378.0
이천시,18496268,4,3,2,3,23,4.2,4.04,3.9,18496268.0
익산시,11771786,2,11,3,2,10,3.91,4.28,4.16,11771786.0
인제군,4826112,1,2,18,3,4,4.21,4.18,3.96,4826112.0
인천광역시 강화군,14248442,9,8,80,18,27,4.21,4.2,4.08,14248442.0
인천광역시 계양구,14500926,2,4,0,5,17,4.25,4.13,3.98,14500926.0
인천광역시 남동구,31448752,1,9,0,10,36,4.0,4.22,4.12,31448752.0
인천광역시 미추홀구,22522049,1,6,0,2,19,4.0,4.36,4.18,22522049.0
인천광역시 부평구,26797444,0,8,0,5,38,3.75,4.3,4.16,26797444.0
인천광역시 서구,26270892,1,12,1,10,34,4.0,4.32,4.17,26270892.0
인천광역시 연수구,27395693,1,10,2,11,30,4.09,4.24,4.11,27395693.0
인천광역시 옹진군,5096676,5,4,39,1,4,4.26,4.11,4.11,5096676.0
인천광역시 중구,32546996,9,7,21,19,25,4.13,3.75,3.71,32546996.0
임실군,3957176,2,4,2,0,2,4.05,4.02,3.9,3957176.0
장성군,6285837,0,3,11,0,5,4.28,4.27,4.08,6285837.0
장수군,2182275,0,1,5,0,0,4.39,4.4,4.01,2182275.0
장흥군,3490545,4,2,5,1,1,4.36,4.2,4.08,3490545.0
전주시,39727853,3,16,14,6,27,4.21,4.44,4.22,39727853.0
정선군,8137646,3,6,22,0,1,4.24,4.26,4.13,8137646.0
정읍시,7316086,3,7,7,0,5,4.43,4.02,3.99,7316086.0
제주시,50947145,54,52,228,44,83,4.36,4.08,4.11,50947145.0
제천시,12099432,6,3,32,3,4,4.21,3.96,3.87,12099432.0
종로구,61659809,4,14,3,1,10,4.2,4.07,4.01,61659809.0
중구,56997855,3,10,1,2,9,4.14,3.84,3.73,56997855.0
중랑구,17389919,3,5,1,4,19,4.33,3.94,3.96,17389919.0
증평군,2834930,1,1,1,1,3,4.18,4.08,4.11,2834930.0
진도군,3920591,5,4,4,0,1,4.51,4.07,4.07,3920591.0
진안군,3636979,3,3,7,0,1,4.25,4.1,3.97,3636979.0
진주시,15381413,9,14,5,2,7,4.19,3.92,4.08,15381413.0
진천군,7820432,2,2,2,1,3,4.12,4.0,4.06,7820432.0
창녕군,7439483,3,8,4,0,2,4.22,4.2,4.2,7439483.0
창원시,70023454,12,26,9,16,49,4.33,4.15,4.11,70023454.0
천안시,44137454,5,18,11,14,55,4.19,4.0,4.13,44137454.0
철원군,4669436,3,1,12,0,3,4.28,4.04,3.86,4669436.0
청도군,9100584,1,3,23,3,8,4.13,4.01,3.92,9100584.0
청송군,3570227,0,2,3,0,0,4.24,3.78,3.33,3570227.0
청양군,3473991,3,1,6,0,0,4.15,3.75,3.58,3473991.0
청주시,62205038,5,10,11,15,47,4.08,3.82,4.0,62205038.0
춘천시,20469393,8,6,56,16,31,4.23,3.69,4.13,20469393.0
충주시,14737623,4,4,24,6,10,4.3,3.89,3.95,14737623.0
칠곡군,11689216,8,4,7,12,12,4.0,4.02,3.98,11689216.0
태백시,2999818,3,1,2,0,0,4.26,4.26,4.19,2999818.0
태안군,16599617,7,6,181,14,7,4.26,4.13,4.09,16599617.0
통영시,12710881,11,10,57,1,5,4.27,4.18,4.13,12710881.0
파주시,33184403,4,7,33,23,75,4.12,4.22,4.04,33184403.0
평창군,13335933,6,5,64,11,3,4.32,4.0,4.03,13335933.0
평택시,24444231,4,18,5,9,43,4.03,4.06,4.08,24444231.0
포천시,21368171,6,5,79,13,17,4.27,4.16,4.1,21368171.0
포항시,35572356,4,15,46,15,31,4.13,4.15,4.02,35572356.0
하남시,26321412,4,15,1,14,28,4.15,4.12,4.04,26321412.0
하동군,5916953,4,8,17,2,2,4.35,4.18,4.18,5916953.0
함안군,6340842,3,4,3,1,3,4.26,4.09,4.0,6340842.0
함양군,4246959,2,5,5,0,0,4.23,3.96,3.89,4246959.0
함평군,4141846,1,5,1,0,4,4.07,3.95,3.95,4141846.0
합천군,6173042,4,3,13,0,2,4.22,4.23,4.09,6173042.0
해남군,5883901,3,4,11,2,0,4.29,4.24,4.09,5883901.0
홍성군,7105846,3,4,5,3,5,4.09,4.24,4.06,7105846.0
홍천군,15071693,5,5,69,6,8,4.26,4.15,4.08,15071693.0
화성시,51736786,13,25,24,9,66,4.19,4.02,3.98,51736786.0
화순군,7963778,4,4,4,2,8,4.41,4.16,3.97,7963778.0
화천군,2428709,3,2,11,0,0,4.0,4.23,4.11,2428709.0
횡성군,8176074,2,0,31,2,4,4.08,4.24,4.13,8176074.0
