attractions,etc,accomodation,restaurant,cafe,A11,A12
0.018518519,0.038461538,0,0.022727273,0.010204082,0.875273523,0.869379015
0.055555556,0.153846154,0,0.159090909,0.112244898,0.86214442,0.832976445
0.037037037,0.038461538,0.004385965,0.227272727,0.316326531,0.86214442,0.843683084
0.055555556,0.038461538,0.004385965,0.068181818,0.081632653,0.875273523,0.837259101
0,0.076923077,0.00877193,0.045454545,0.030612245,0.866520788,0.839400428
0.074074074,0.153846154,0.004385965,0.113636364,0.020408163,0.892778993,0.867237687
0.148148148,0.211538462,0.013157895,0.045454545,0.030612245,0.881838074,0.847965739
0.055555556,0.019230769,0.00877193,0.159090909,0.255102041,0.897155361,0.850107066
0.018518519,0.038461538,0,0.045454545,0.071428571,0.868708972,0.830835118
0.148148148,0.192307692,0.004385965,0.045454545,0.040816327,0.866520788,0.839400428
0.018518519,0.038461538,0.00877193,0.022727273,0.030612245,0.875273523,0.852248394
0.185185185,0.211538462,0.078947368,0.477272727,0.214285714,0.901531729,0.860813704
0.12962963,0.096153846,0.070175439,0,0.020408163,0.899343545,0.845824411
0.055555556,0.192307692,0.01754386,0,0.020408163,0.903719912,0.858672377
0.018518519,0.192307692,0,0.363636364,0.469387755,0.912472648,0.867237687
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.875273523,0.843683084
0,0.057692308,0.087719298,0,0,0.886214442,0.852248394
0.222222222,0.25,0.135964912,0,0.040816327,0.884026258,0.860813704
0.037037037,0.153846154,0.030701754,0,0.030612245,0.881838074,0.850107066
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.86214442,0.847965739
0.018518519,0.096153846,0,0.068181818,0.112244898,0.903719912,0.86509636
0.074074074,0.019230769,0.039473684,0,0.102040816,0.881838074,0.850107066
0.074074074,0.057692308,0.039473684,0,0.010204082,0.875273523,0.832976445
0.018518519,0.230769231,0,0.090909091,0.204081633,0.894967177,0.867237687
0.074074074,0.269230769,0,0.454545455,0.714285714,0.910284464,0.867237687
0.074074074,0.134615385,0,0.136363636,0.142857143,0.89059081,0.862955032
0.018518519,0.192307692,0,0.090909091,0.255102041,0,0
0.037037037,0.057692308,0.048245614,0,0.030612245,0.857768053,0.847965739
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.905908096,0.852248394
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.897155361,0.862955032
0.018518519,0.211538462,0,0.272727273,0.448979592,0.90809628,0.860813704
0.148148148,0.615384615,0,0.636363636,1,0.903719912,0.862955032
0.111111111,0.115384615,0.01754386,0,0.010204082,0.919037199,0.899357602
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.875273523,0.892933619
0.055555556,0.173076923,0,0.340909091,0.387755102,0.888402626,0.852248394
0.074074074,0.038461538,0.01754386,0,0,0.894967177,0.877944325
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.884026258,0.854389722
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.903719912,0.869379015
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.899343545,0.871520343
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.866520788,0.824411135
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.901531729,0.86509636
0.055555556,0.076923077,0.01754386,0,0,0.899343545,0.87366167
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.875273523,0.850107066
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.901531729,0.856531049
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.899343545,0.867237687
0.037037037,0.192307692,0,0.068181818,0.163265306,0.888402626,0.856531049
