att,etx,acc,res,caf,A11,A12,x1,x2,x3,x5,x6
0.037037037,0.057692308,0.004385965,0,0.020408163,0.74522293,0.719101124,0.00239702,0.604114492,0.003633586,0.115869037,0.009633993
0,0.115384615,0,0.022727273,0.163265306,0.617834395,0.700374532,0.000275654,0.039113433,0.030541228,0.074832983,0.006228504
0.037037037,0.173076923,0.004385965,0.068181818,0.081632653,0.611464968,0.722846442,0.299154547,0.045352767,0.041018388,0.139448118,0.049612781
0.092592593,0.038461538,0.013157895,0.045454545,0.112244898,0.127388535,0.524344569,0.013285003,0.030038084,0.040299134,0.041326701,0.024112378
0.12962963,0.134615385,0.048245614,0.340909091,0.37755102,0.808917197,0.715355805,0.016348817,0.132199914,0.11204246,0.344267723,0.257069766
0,0.076923077,0.00877193,0,0.265306122,0.72611465,0.801498127,0.086043872,0.325175944,0.170347957,0.107505856,0.000587693
0.055555556,0.038461538,0.083333333,0,0.040816327,0.636942675,0.872659176,0.048552199,0.013237286,0.051271242,0.013481137,0.067062898
0.018518519,0.057692308,0.096491228,0.022727273,0.020408163,0.694267516,0.764044944,0.018439937,0.023572236,0.04343039,0.02362928,0.029557508
0,0.115384615,0.004385965,0,0.071428571,0.719745223,0.779026217,0.000189039,0.085131967,0.062940461,0.051384676,0.019731748
0.018518519,0.096153846,0,0.022727273,0.112244898,0.802547771,0.812734082,0.005585256,0.052947103,0.032252019,0.122469319,0
0.111111111,0.211538462,0.004385965,0.136363636,0.132653061,1,0.91011236,0.052447786,0.08118379,0.064739006,0.123918072,0.010153198
0.111111111,0.153846154,0.021929825,0.136363636,0.183673469,0,0.374531835,0.155954776,0.089320433,0.130339558,0.183799582,0.179845843
0,0,0,0,0,0.649681529,0.737827715,0.00802627,0.035287696,0.008236155,0.015826927,0.009054127
0.111111111,0.115384615,0,0.090909091,0.142857143,0.955414013,0.74906367,0.006308417,0.034917315,0.011936171,0.075774464,0.000859689
0.055555556,0.057692308,0.043859649,0.022727273,0.020408163,0.681528662,0.752808989,0.035817815,0.010245671,0.019045057,0.019630902,0.009624861
0,0.038461538,0,0,0.091836735,0.668789809,0.629213483,0,0.036810032,0.033129968,0.034932173,2.02E-05
0.055555556,0.076923077,0,0,0.071428571,0.656050955,0.730337079,0.018770584,0.018728716,0.006044358,0.03342187,0.025958295
0.037037037,0.057692308,0.035087719,0.022727273,0.040816327,0.318471338,0.374531835,0.066714419,0.018568524,0.030906186,0.0333592,0.014678631
0.092592593,0.519230769,0.01754386,0.363636364,0.540816327,0.636942675,0.74906367,0.018719028,0.186296422,0.105690553,0.428079391,0.147505109
0.074074074,0.307692308,0.00877193,0.181818182,0.224489796,0.636942675,0.588014981,0.04282671,0.150243987,0.07808334,0.212009012,0.015967512
