attractions,etc,accomodations,restaurant,cafe,A11,A12
0,0.038461538,0.004385965,0.022727273,0.071428571,0.898089172,0.816479401
0,0.038461538,0.01754386,0,0,0.700636943,0.745318352
0.018518519,0.057692308,0,0.022727273,0.010204082,0.738853503,0.745318352
0.092592593,0.057692308,0,0.159090909,0.132653061,0.72611465,0.752808989
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.732484076,0.737827715
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.662420382,0.711610487
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.815286624,0.808988764
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.751592357,0.734082397
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.76433121,0.779026217
0.037037037,0.076923077,0,0.113636364,0.173469388,0.719745223,0.741573034
0.018518519,0.173076923,0,0.227272727,0.367346939,0.777070064,0.794007491
0.018518519,0.115384615,0,0.045454545,0.193877551,0.866242038,0.816479401
0,0.153846154,0,0.113636364,0.387755102,0.828025478,0.808988764
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.840764331,0.812734082
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.789808917,0.790262172
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.707006369,0.790262172
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.477707006,0.640449438
0.037037037,0.076923077,0.00877193,0,0.020408163,0.649681529,0.711610487
0,0.057692308,0.048245614,0,0.051020408,0.808917197,0.779026217
0,0.019230769,0.021929825,0,0,0.891719745,0.752808989
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.76433121,0.779026217
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.917197452,0.831460674
0.055555556,0.115384615,0.096491228,0,0.010204082,0.802547771,0.797752809
0.055555556,0.134615385,0.030701754,0,0.051020408,0.649681529,0.745318352
1,1,1,1,0.846938776,0.687898089,0.790262172
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.611464968,0.700374532
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.681528662,0.752808989
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.535031847,0.647940075
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.598726115,0.734082397
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.687898089,0.790262172
0.092592593,0.076923077,0.01754386,0,0.010204082,0.681528662,0.775280899
0.055555556,0.057692308,0.030701754,0,0.010204082,0.700636943,0.737827715
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.585987261,0.779026217
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.636942675,0.771535581
0.055555556,0.153846154,0.01754386,0,0.020408163,0.76433121,0.823970037
0.222222222,0.5,0.039473684,0.363636364,0.5,0.732484076,0.790262172
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.636942675,0.797752809
0.055555556,0.019230769,0.052631579,0,0.030612245,0.662420382,0.696629213
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.643312102,0.719101124
0,0.038461538,0.013157895,0,0,0.496815287,0.498127341
0.055555556,0.019230769,0.026315789,0,0,0.477707006,0.5917603
